team,team_id,url
Grand Canyon Lopes,1104,https://gculopes.com/sports/womens-soccer
Green Bay Phoenix,794,https://greenbayphoenix.com/sports/womens-soccer
Hampton Lady Pirates,270,https://hamptonpirates.com/sports/womens-soccer
Hawaii Rainbow Wahine,277,https://hawaiiathletics.com/sports/womens-soccer
High Point Panthers,19651,https://highpointpanthers.com/sports/womens-soccer
Hofstra Pride,283,https://gohofstra.com/sports/womens-soccer
Holy Cross Crusaders,285,https://goholycross.com/sports/womens-soccer
Houston Christian Huskies,287,https://hbuhuskies.com/sports/womens-soccer
Houston Cougars,288,https://uhcougars.com/sports/womens-soccer
Howard Bison,290,https://hubison.com/sports/womens-soccer
IU Indy Jaguars,2699,https://iuindyjags.com/sports/womens-soccer
Idaho St. Bengals,294,https://isubengals.com/sports/womens-soccer
Idaho Vandals,295,https://govandals.com/sports/womens-soccer
Illinois Fighting Illini,301,https://fightingillini.com/sports/womens-soccer
Illinois St. Redbirds,299,https://goredbirds.com/sports/womens-soccer
Indiana Hoosiers,306,https://iuhoosiers.com/sports/womens-soccer
Indiana St. Sycamores,305,https://gosycamores.com/sports/womens-soccer
Iona Gaels,310,https://ionagaels.com/sports/womens-soccer
Iowa Hawkeyes,312,https://hawkeyesports.com/sports/wsoc
Iowa St. Cyclones,311,https://cyclones.com/sports/womens-soccer
Jackson St. Lady Tigers,314,https://gojsutigers.com/sports/womens-soccer
Jacksonville Dolphins,316,https://judolphins.com/sports/womens-soccer
Jacksonville St. Gamecocks,315,https://jsugamecocksports.com/sports/womens-soccer
James Madison Dukes,317,https://jmusports.com/sports/womens-soccer
Kansas City Roos,2707,https://kcroos.com/sports/womens-soccer
Kansas Jayhawks,328,https://kuathletics.com/sports/womens-soccer
Kansas St. Wildcats,327,https://kstatesports.com/sports/womens-soccer
Kennesaw St. Owls,1157,https://ksuowls.com/sports/womens-soccer
Kent St. Golden Flashes,331,https://kentstatesports.com/sports/womens-soccer
Kentucky Wildcats,334,https://ukathletics.com/sports/wsoc
LIU Sharks,361,https://www.liuathletics.com/sports/womens-soccer
LMU (CA) Lions,370,https://lmulions.com/sports/womens-soccer
LSU Tigers,365,https://lsusports.net/sports/sc
La Salle Explorers,340,https://goexplorers.com/sports/womens-soccer
Lafayette Leopards,342,https://goleopards.com/sports/womens-soccer
Lamar University Cardinals,346,https://lamarcardinals.com/sports/womens-soccer
Le Moyne Dolphins,349,https://lemoynedolphins.com/sports/womens-soccer
Lehigh Mountain Hawks,352,https://lehighsports.com/sports/womens-soccer
Liberty Lady Flames,355,https://libertyflames.com/sports/womens-soccer
Lindenwood Lions,30136,https://lindenwoodlions.com/sports/womens-soccer
Lipscomb Bisons,28600,https://lipscombsports.com/sports/womens-soccer
Little Rock Trojans,32,https://lrtrojans.com/sports/womens-soccer
Long Beach St. Beach,99,https://longbeachstate.com/sports/womens-soccer
Longwood Lancers,363,https://longwoodlancers.com/sports/womens-soccer
Louisiana Ragin' Cajuns,671,https://ragincajuns.com/sports/womens-soccer
Louisiana Tech Lady Techsters,366,https://latechsports.com/sports/womens-soccer
Louisville Cardinals,367,https://gocards.com/sports/womens-soccer
Loyola Chicago Ramblers,371,https://loyolaramblers.com/sports/womens-soccer
Loyola Maryland Greyhounds,369,https://loyolagreyhounds.com/sports/womens-soccer
Maine Black Bears,380,https://goblackbears.com/sports/womens-soccer
Marist Red Foxes,386,https://goredfoxes.com/sports/womens-soccer
Marquette Golden Eagles,387,https://gomarquette.com/sports/womens-soccer
Marshall Thundering Herd,388,https://herdzone.com/sports/womens-soccer
"Maryland Terrapins, Terps",392,https://umterps.com/sports/womens-soccer
Massachusetts Minutewomen,400,https://umassathletics.com/sports/womens-soccer
McNeese Cowgirls,402,https://mcneesesports.com/sports/womens-soccer
Memphis Tigers,404,https://gotigersgo.com/sports/womens-soccer
Mercer Bears,406,https://mercerbears.com/sports/womens-soccer
Merrimack Warriors,410,https://merrimackathletics.com/sports/womens-soccer
Miami (FL) Hurricanes,415,https://miamihurricanes.com/sports/soc
Miami (OH) RedHawks,414,https://miamiredhawks.com/sports/womens-soccer
Michigan St. Spartans,416,https://msuspartans.com/sports/womens-soccer
Michigan Wolverines,418,https://mgoblue.com/sports/womens-soccer
Middle Tenn. Blue Raiders,419,https://goblueraiders.com/sports/womens-soccer
Milwaukee Panthers,797,https://mkepanthers.com/sports/womens-soccer
Minnesota Golden Gophers,428,https://gophersports.com/sports/womens-soccer
Mississippi St. Bulldogs,430,https://hailstate.com/sports/womens-soccer
Mississippi Val. Devilettes,432,https://mvsusports.com/sports/womens-soccer
Missouri St. Bears,669,https://missouristatebears.com/sports/womens-soccer
Missouri Tigers,434,https://mutigers.com/sports/womens-soccer
